switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s17,13,18,1272,0,0,828,86872,0,0
s17,11,18,1272,0,0,830,87152,0,0
s17,10,18,1272,0,0,832,87432,0,0
s17,8,287,8068,0,0,14,1076,0,0
s17,9,18,1272,0,0,832,86902,0,0
s17,5,908,96996,4,0,908,96996,0,0
s17,12,18,1272,0,0,830,87152,0,0
s17,1,910,96662,0,0,912,96936,0,0
s17,4,945,98942,4,0,923,98046,0,0
s17,6,906,96720,4,0,904,96444,0,0
s17,7,18,1272,0,0,836,87458,0,0
s17,2,909,97198,0,0,914,97632,0,0
s17,3,889,96390,0,0,644,86068,0,0
