switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s0,0x10000bfecdb25,0,40000,870.422,0,0,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000bfecdb25, duration=870.422s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s0,0x100006e481249,0,5,870.422,0,0,ip,"CONTROLLER:65535,clear_actions","cookie=0x100006e481249, duration=870.422s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s0,0x10000c8cba12e,0,40000,870.421,550,75350,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000c8cba12e, duration=870.421s, table=0, n_packets=550, n_bytes=75350, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s0,0x10000f5d774a3,0,40000,870.421,550,75350,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000f5d774a3, duration=870.421s, table=0, n_packets=550, n_bytes=75350, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
