switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s16,13,524,43789,0,0,2640,97643498,0,0
s16,11,19,1258,0,0,697,61873,0,0
s16,10,679,54007,0,0,2808,95921852,0,0
s16,8,370,11139,0,0,13,1006,0,0
s16,9,585,47629,0,0,2817,99579469,0,0
s16,5,10114,388942788,0,0,4321,207388613,0,0
s16,12,521,43597,0,0,2578,102687242,0,0
s16,14,511,42918,0,0,2745,97548028,0,0
s16,1,795,73357,4,0,793,73369,0,0
s16,4,14192,718074794,0,0,4344,370584,0,0
s16,6,599,48590,0,0,2807,103118116,0,0
s16,7,1097,90656,0,0,4747,202757095,0,0
s16,2,4785,203498452,4,0,5984,106226217,0,0
s16,3,778,71931,0,0,777,71697,0,0
