switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s2,0x10000a47377ae,0,40000,107.445,148,20276,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000a47377ae, duration=107.445s, table=0, n_packets=148, n_bytes=20276, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s2,0x10000264936ba,0,5,107.445,6,588,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000264936ba, duration=107.445s, table=0, n_packets=6, n_bytes=588, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s2,0x1000097a4629f,0,40000,107.445,148,20276,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000097a4629f, duration=107.445s, table=0, n_packets=148, n_bytes=20276, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s2,0x10000df393e57,0,40000,107.445,59,2478,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000df393e57, duration=107.445s, table=0, n_packets=59, n_bytes=2478, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s2,0x2100005e869ef4,0,10,2.516,0,0,"in_port=6,dl_src=66:ab:5f:f0:f3:92,dl_dst=0a:5d:b0:51:a7:84",output:4,"cookie=0x2100005e869ef4, duration=2.516s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=6,dl_src=66:ab:5f:f0:f3:92,dl_dst=0a:5d:b0:51:a7:84 actions=output:4"
s2,0x21000015071ddd,0,10,2.487,0,0,"in_port=2,dl_src=6e:74:74:f7:3b:58,dl_dst=0a:5d:b0:51:a7:84",output:4,"cookie=0x21000015071ddd, duration=2.487s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=6e:74:74:f7:3b:58,dl_dst=0a:5d:b0:51:a7:84 actions=output:4"
s2,0x21000063c808d8,0,10,2.463,0,0,"in_port=3,dl_src=0a:5d:b0:51:a7:84,dl_dst=c6:64:9f:95:aa:bd",output:2,"cookie=0x21000063c808d8, duration=2.463s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=0a:5d:b0:51:a7:84,dl_dst=c6:64:9f:95:aa:bd actions=output:2"
s2,0x2100004110793d,0,10,2.392,0,0,"in_port=4,dl_src=0a:5d:b0:51:a7:84,dl_dst=66:ab:5f:f0:f3:92",output:6,"cookie=0x2100004110793d, duration=2.392s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=4,dl_src=0a:5d:b0:51:a7:84,dl_dst=66:ab:5f:f0:f3:92 actions=output:6"
s2,0x2100006be65677,0,10,2.374,0,0,"in_port=3,dl_src=0a:5d:b0:51:a7:84,dl_dst=ce:e9:83:b9:56:22",output:5,"cookie=0x2100006be65677, duration=2.374s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=0a:5d:b0:51:a7:84,dl_dst=ce:e9:83:b9:56:22 actions=output:5"
s2,0x21000056b55c62,0,10,2.364,0,0,"in_port=4,dl_src=0a:5d:b0:51:a7:84,dl_dst=6e:74:74:f7:3b:58",output:2,"cookie=0x21000056b55c62, duration=2.364s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=4,dl_src=0a:5d:b0:51:a7:84,dl_dst=6e:74:74:f7:3b:58 actions=output:2"
