switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s16,6,8,656,0,0,26,3158,0,0
s16,4,0,0,0,0,11,866,0,0
s16,1,72,9290,4,0,70,9016,0,0
s16,5,58,7420,0,0,56,7144,0,0
s16,2,68,8742,4,0,66,8468,0,0
s16,3,58,7420,0,0,58,7420,0,0
