snapshot,switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
3,s2,0x10000ec3c50fc,0,40000,1407.477,2242,307154,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000ec3c50fc, duration=1407.477s, table=0, n_packets=2242, n_bytes=307154, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
3,s2,0x10000a5b43eac,0,40000,1407.468,1193,50106,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000a5b43eac, duration=1407.468s, table=0, n_packets=1193, n_bytes=50106, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
3,s2,0x100009cae6dcd,0,5,1407.468,227,19118,ip,"CONTROLLER:65535,clear_actions","cookie=0x100009cae6dcd, duration=1407.468s, table=0, n_packets=227, n_bytes=19118, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
3,s2,0x10000cf045c27,0,40000,1407.468,2242,307154,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000cf045c27, duration=1407.468s, table=0, n_packets=2242, n_bytes=307154, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
3,s1,0x1000049ccf504,0,5,1407.470,111,8398,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000049ccf504, duration=1407.470s, table=0, n_packets=111, n_bytes=8398, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
3,s1,0x10000358fc2a1,0,40000,1407.470,683,28686,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000358fc2a1, duration=1407.470s, table=0, n_packets=683, n_bytes=28686, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
3,s1,0x10000b474f87c,0,40000,1407.470,906,124122,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000b474f87c, duration=1407.470s, table=0, n_packets=906, n_bytes=124122, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
3,s1,0x1000054ece146,0,40000,1407.470,906,124122,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000054ece146, duration=1407.470s, table=0, n_packets=906, n_bytes=124122, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
3,s3,0x10000c77ed347,0,40000,1407.500,683,28686,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000c77ed347, duration=1407.500s, table=0, n_packets=683, n_bytes=28686, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
3,s3,0x100004cf6878e,0,5,1407.500,88,6512,ip,"CONTROLLER:65535,clear_actions","cookie=0x100004cf6878e, duration=1407.500s, table=0, n_packets=88, n_bytes=6512, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
3,s3,0x100004171190a,0,40000,1407.495,896,122752,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100004171190a, duration=1407.495s, table=0, n_packets=896, n_bytes=122752, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
3,s3,0x10000c1bf0c62,0,40000,1407.489,896,122752,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000c1bf0c62, duration=1407.489s, table=0, n_packets=896, n_bytes=122752, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
3,s0,0x10000ec38f3f2,0,40000,1407.506,1036,43512,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000ec38f3f2, duration=1407.506s, table=0, n_packets=1036, n_bytes=43512, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
3,s0,0x10000c0ab2c28,0,40000,1407.504,894,122478,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000c0ab2c28, duration=1407.504s, table=0, n_packets=894, n_bytes=122478, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
3,s0,0x100006199710e,0,40000,1407.502,894,122478,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100006199710e, duration=1407.502s, table=0, n_packets=894, n_bytes=122478, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
3,s0,0x100008aee1fa8,0,5,1407.499,275,25246,ip,"CONTROLLER:65535,clear_actions","cookie=0x100008aee1fa8, duration=1407.499s, table=0, n_packets=275, n_bytes=25246, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
3,s7,0x10000276a2656,0,40000,1407.332,2236,305436,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000276a2656, duration=1407.332s, table=0, n_packets=2236, n_bytes=305436, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
3,s7,0x10000ef19dda8,0,40000,1407.331,1599,67158,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000ef19dda8, duration=1407.331s, table=0, n_packets=1599, n_bytes=67158, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
3,s7,0x100001044f163,0,40000,1407.331,2236,305436,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100001044f163, duration=1407.331s, table=0, n_packets=2236, n_bytes=305436, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
3,s7,0x100007db69e56,0,5,1407.331,9,666,ip,"CONTROLLER:65535,clear_actions","cookie=0x100007db69e56, duration=1407.331s, table=0, n_packets=9, n_bytes=666, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
3,s4,0x10000233b88f5,0,40000,1407.522,1005,42210,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000233b88f5, duration=1407.522s, table=0, n_packets=1005, n_bytes=42210, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
3,s4,0x1000099167fb1,0,5,1407.516,48,4018,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000099167fb1, duration=1407.516s, table=0, n_packets=48, n_bytes=4018, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
3,s4,0x1000039825a9a,0,40000,1407.513,1792,244602,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000039825a9a, duration=1407.513s, table=0, n_packets=1792, n_bytes=244602, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
3,s4,0x10000eacb980c,0,40000,1407.512,1792,244602,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000eacb980c, duration=1407.512s, table=0, n_packets=1792, n_bytes=244602, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
3,s6,0x10000069366e3,0,5,1407.320,69,5682,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000069366e3, duration=1407.320s, table=0, n_packets=69, n_bytes=5682, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
3,s6,0x10000dd66b89f,0,40000,1407.319,4002,546928,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000dd66b89f, duration=1407.319s, table=0, n_packets=4002, n_bytes=546928, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
3,s6,0x10000e1bd7c7d,0,40000,1407.319,4002,546928,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000e1bd7c7d, duration=1407.319s, table=0, n_packets=4002, n_bytes=546928, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
3,s6,0x100001b87f302,0,40000,1407.319,1033,43386,arp,"CONTROLLER:65535,clear_actions","cookie=0x100001b87f302, duration=1407.319s, table=0, n_packets=1033, n_bytes=43386, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
3,s5,0x100001b99fd4b,0,40000,1407.498,1943,81606,arp,"CONTROLLER:65535,clear_actions","cookie=0x100001b99fd4b, duration=1407.498s, table=0, n_packets=1943, n_bytes=81606, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
3,s5,0x1000015c918f2,0,40000,1407.494,2704,369546,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000015c918f2, duration=1407.494s, table=0, n_packets=2704, n_bytes=369546, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
3,s5,0x1000083ee0867,0,40000,1407.494,2704,369546,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000083ee0867, duration=1407.494s, table=0, n_packets=2704, n_bytes=369546, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
