frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
"1764690030.213147000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690030.221636000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764690030.414096000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690030.414161000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764690030.614877000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690030.614976000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764690030.818831000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690030.818877000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764690031.022833000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690031.022880000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764690031.226815000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690031.226881000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764690031.430827000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690031.430870000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764690031.634809000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690031.634858000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764690031.838832000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690031.838878000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764690032.042832000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764690032.042881000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
