switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s16,13,11,866,0,0,218,24583,0,0
s16,11,11,866,0,0,220,24863,0,0
s16,10,11,866,0,0,222,25143,0,0
s16,8,61,2423,0,0,12,936,0,0
s16,9,11,866,0,0,222,24993,0,0
s16,5,296,34891,0,0,236,31656,0,0
s16,12,11,866,0,0,220,24863,0,0
s16,14,11,866,0,0,218,24583,0,0
s16,1,309,36703,4,0,309,36545,0,0
s16,4,257,34676,0,0,296,34891,0,0
s16,6,12,936,0,0,226,25549,0,0
s16,7,11,866,0,0,226,25549,0,0
s16,2,244,32720,4,0,332,39767,0,0
s16,3,297,35125,0,0,295,34849,0,0
