switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s16,13,531,44111,0,0,2965,97665604,0,0
s16,11,25,1510,0,0,1021,83909,0,0
s16,10,1190,96796,0,0,5159,197543146,0,0
s16,8,614,17971,0,0,13,1006,0,0
s16,9,1085,89702,0,0,5179,191480353,0,0
s16,5,15637,594421623,0,0,8720,419198542,0,0
s16,12,1077,89358,0,0,5044,206480148,0,0
s16,14,1069,88836,0,0,5200,193752312,0,0
s16,1,1629,137680,4,0,3113,99232833,0,0
s16,4,24788,1226857916,0,0,7322,612920,0,0
s16,6,605,48842,0,0,3132,103140136,0,0
s16,7,1643,135768,0,0,7133,299587747,0,0
s16,2,11467,483050751,4,0,11024,208120375,0,0
s16,3,1108,94047,0,0,1107,93813,0,0
