switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s12,13,892,77024,0,0,4533,202331414,0,0
s12,11,1350,116421,0,0,6449,308791090,0,0
s12,10,1403,119919,0,0,6788,312002573,0,0
s12,8,381,11511,0,0,13,1006,0,0
s12,9,422,36752,0,0,2645,101147227,0,0
s12,5,22317,723454595,0,0,45031,2237132683,0,0
s12,12,936,79851,0,0,4552,204111386,0,0
s12,14,1013,84954,0,0,4654,203882907,0,0
s12,1,805,74448,4,0,799,73241,0,0
s12,4,70817,3538936112,0,0,18043,1536094,0,0
s12,6,1944,166334,8,0,13325,600646737,0,0
s12,7,3792,325984,4,0,11126,517184949,0,0
s12,2,8117,695825,4,0,18748,925600742,0,0
s12,3,30774,1554699049,0,0,9605,818401,0,0
