switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s13,10,1690,138890,0,0,8043,313300363,0,0
s13,8,485,13644,0,0,14,1076,0,0
s13,9,1713,140360,0,0,8159,309496118,0,0
s13,5,58111,2813180535,0,0,25798,194108213,0,0
s13,1,30913,1442806278,4,0,9420,822057,0,0
s13,4,19670,1680045,0,0,50825,2481729098,0,0
s13,6,2132,177144,0,0,9910,406095904,0,0
s13,7,1760,143599,0,0,7947,314280464,0,0
s13,2,27895,1266068750,4,0,6136,559316,0,0
s13,3,18934,514084853,4,0,39294,1704624601,0,0
