switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s0,0x100007231b4d9,0,5,748.901,30,2220,ip,"CONTROLLER:65535,clear_actions","cookie=0x100007231b4d9, duration=748.901s, table=0, n_packets=30, n_bytes=2220, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s0,0x1000086a63fe9,0,40000,748.900,9,378,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000086a63fe9, duration=748.900s, table=0, n_packets=9, n_bytes=378, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s0,0x10000e8bc0c22,0,40000,748.900,483,65688,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000e8bc0c22, duration=748.900s, table=0, n_packets=483, n_bytes=65688, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s0,0x100000d755090,0,40000,748.900,483,65688,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100000d755090, duration=748.900s, table=0, n_packets=483, n_bytes=65688, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s0,0x21000037f702bc,0,10,5.881,670,53278,"in_port=3,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x21000037f702bc, duration=5.881s, table=0, n_packets=670, n_bytes=53278, send_flow_rem priority=10,in_port=3,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x21000049892e50,0,10,5.874,1758,105871166,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=c6:64:9f:95:aa:bd",output:3,"cookie=0x21000049892e50, duration=5.874s, table=0, n_packets=1758, n_bytes=105871166, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=c6:64:9f:95:aa:bd actions=output:3"
s0,0x210000e5f12f5c,0,10,3.861,577,47136,"in_port=1,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x210000e5f12f5c, duration=3.861s, table=0, n_packets=577, n_bytes=47136, send_flow_rem priority=10,in_port=1,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x2100009945d9bc,0,10,3.852,1759,105870085,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c",output:1,"cookie=0x2100009945d9bc, duration=3.852s, table=0, n_packets=1759, n_bytes=105870085, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c actions=output:1"
s0,0x2100001f5a8163,0,10,1.834,588,41754,"in_port=2,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x2100001f5a8163, duration=1.834s, table=0, n_packets=588, n_bytes=41754, send_flow_rem priority=10,in_port=2,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x210000d81a1d75,0,10,1.826,1586,95472788,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92",output:2,"cookie=0x210000d81a1d75, duration=1.826s, table=0, n_packets=1586, n_bytes=95472788, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92 actions=output:2"
