switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s6,13,1440,122436,0,0,7252,314402932,0,0
s6,11,1666,137300,0,0,7502,309415179,0,0
s6,10,18,1300,0,0,1254,136796,0,0
s6,8,368,10368,0,0,14,1076,0,0
s6,9,11859,511309963,4,0,1266,137704,0,0
s6,5,1283,139194,4,0,1284,139268,0,0
s6,12,1706,139899,0,0,7337,317810354,0,0
s6,14,1384,118693,0,0,6927,305738234,0,0
s6,1,3407,316349,4,0,1295,140482,0,0
s6,4,1286,139508,4,0,2790,266112,0,0
s6,6,8983,418132056,4,0,21122,605515898,0,0
s6,7,19765,922582026,4,0,1268,137978,0,0
s6,2,1289,140696,0,0,1288,140718,0,0
s6,3,6268,551144,0,0,2721,262625,0,0
